"team_id","league_id","abbr","team_concat","name","location","conf","div","lat","lon","weather"
59065,5,DUQ,CFB_DUQ,Duquesne,"Pittsburgh, PA",FCS,NEC,40.436000,-79.990000,1
59067,5,WAG,CFB_WAG,Wagner,"Staten Island, NY",FCS,NEC,40.615000,-74.091000,1
59068,5,CCSU,CFB_CCSU,C Connecticut,"New Britain, CT",FCS,NEC,41.695000,-72.762000,1
59069,5,STO,CFB_STO,Stonehill,"North Easton, MA",FCS,NEC,42.067000,-71.104000,1
59070,5,MERC,CFB_MERC,Mercyhurst,"Erie, PA",FCS,NEC,42.129000,-80.085000,1
59071,5,NH,CFB_NH,New Haven,"West Haven, CT",FCS,NEC,41.271000,-72.947000,1
59072,5,SFPA,CFB_SFPA,St Francis PA,"Loretto, PA",FCS,NEC,40.506000,-78.637000,1
59073,5,BUCK,CFB_BUCK,Bucknell,"Lewisburg, PA",FCS,PATRIOT,40.952000,-76.885000,1
59074,5,HC,CFB_HC,Holy Cross,"Worcester, MA",FCS,PATRIOT,42.240000,-71.811000,1
59075,5,GTWN,CFB_GTWN,Georgetown,"Washington, DC",FCS,PATRIOT,38.908000,-77.075000,1
59076,5,FOR,CFB_FOR,Fordham,"Bronx, NY",FCS,PATRIOT,40.847000,-73.879000,1
59077,5,RICH,CFB_RICH,Richmond,"Richmond, VA",FCS,PATRIOT,37.581000,-77.537000,1
59078,5,COLG,CFB_COLG,Colgate,"Hamilton, NY",FCS,PATRIOT,42.817000,-75.545000,1
59079,5,LAF,CFB_LAF,Lafayette,"Easton, PA",FCS,PATRIOT,40.701000,-75.211000,1
59080,5,LEH,CFB_LEH,Lehigh,"Bethlehem, PA",FCS,PATRIOT,40.589000,-75.355000,1
59081,5,MORE,CFB_MORE,Morehead St,"Morehead, KY",FCS,PIONEER,38.192000,-83.425000,1
59082,5,BUT,CFB_BUT,Butler,"Indianapolis, IN",FCS,PIONEER,39.844000,-86.166000,1
59083,5,VAL,CFB_VAL,Valparaiso,"Valparaiso, IN",FCS,PIONEER,41.466000,-87.048000,1
59084,5,DRKE,CFB_DRKE,Drake,"Des Moines, IA",FCS,PIONEER,41.605000,-93.655000,1
59085,5,DAY,CFB_DAY,Dayton,"Dayton, OH",FCS,PIONEER,39.737000,-84.198000,1
59086,5,USD,CFB_USD,San Diego,"San Diego, CA",FCS,PIONEER,32.773000,-117.184000,1
59087,5,DAV,CFB_DAV,Davidson,"Davidson, NC",FCS,PIONEER,35.500000,-80.843000,1
59088,5,PRES,CFB_PRES,Presbyterian,"Clinton, SC",FCS,PIONEER,34.462000,-81.861000,1
59089,5,MRST,CFB_MRST,Marist,"Poughkeepsie, NY",FCS,PIONEER,41.719000,-73.933000,1
59090,5,STET,CFB_STET,Stetson,"DeLand, FL",FCS,PIONEER,29.021000,-81.299000,1
59091,5,STMN,CFB_STMN,St Thomas (MN),"Saint Paul, MN",FCS,PIONEER,44.950000,-93.093000,1
59092,5,CIT,CFB_CIT,The Citadel,"Charleston, SC",FCS,SOUTHERN,32.794000,-79.956000,1
59093,5,FUR,CFB_FUR,Furman,"Greenville, SC",FCS,SOUTHERN,34.920000,-82.437000,1
59094,5,ETSU,CFB_ETSU,ETSU,"Johnson City, TN",FCS,SOUTHERN,36.299000,-82.374000,1
59095,5,MER,CFB_MER,Mercer,"Macon, GA",FCS,SOUTHERN,32.826000,-83.652000,1
59096,5,VMI,CFB_VMI,VMI,"Lexington, VA",FCS,SOUTHERN,37.789000,-79.435000,1
59097,5,WOF,CFB_WOF,Wofford,"Spartanburg, SC",FCS,SOUTHERN,34.962000,-81.933000,1
59098,5,SAM,CFB_SAM,Samford,"Homewood, AL",FCS,SOUTHERN,33.463000,-86.795000,1
59099,5,UTC,CFB_UTC,Chattanooga,"Chattanooga, TN",FCS,SOUTHERN,35.036000,-85.316000,1
59100,5,WCU,CFB_WCU,W Carolina,"Cullowhee, NC",FCS,SOUTHERN,35.305000,-83.182000,1
59101,5,UIW,CFB_UIW,Incarnate Word,"San Antonio, TX",FCS,SOUTHLAND,29.467000,-98.470000,1
59102,5,SFA,CFB_SFA,SF Austin,"Nacogdoches, TX",FCS,SOUTHLAND,31.626000,-94.644000,1
59103,5,NICH,CFB_NICH,Nicholls,"Thibodaux, LA",FCS,SOUTHLAND,29.787000,-90.805000,1
59104,5,SELA,CFB_SELA,SE Louisiana,"Hammond, LA",FCS,SOUTHLAND,30.511000,-90.469000,1
59105,5,MCN,CFB_MCN,McNeese,"Lake Charles, LA",FCS,SOUTHLAND,30.180000,-93.218000,1
